EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010060379,HEALING AND DELIVERANCE MINISTRY INC,,14103 BYRNE PARK DR,CLARKSBURG,MD,20871-6337,0000,03,3,7000,201407,1,10,000000000,5,01,,0,0,06,0,12,,,,X20,
010472527,LOUIS C TALARICO SCHOLARSHIP FUND,% EVELYN T BOLDUC,7556 TEAGUE RD STE 310,HANOVER,MD,21076-1389,0000,03,3,1000,199310,1,04,039000000,2,01,202312,1,1,00,1,12,3803,500,,,
010475488,NATIONAL ASSOCIATION OF EDUCATIONAL PROCUREMENT,% BILL ALDERSON,8840 STANFORD BLVD STE 2000,COLUMBIA,MD,21045-5848,3700,03,9,1000,199403,1,16,000000000,1,01,,0,0,01,0,12,,,,B50Z,NEW ENGLAND
010488045,AIR FORCE SERGEANTS ASSOCIATION,% AFSA A&F,PO BOX 50,TEMPLE HILLS,MD,20757-0050,1758,19,9,1000,196511,2,00,907908000,5,01,,0,0,02,0,12,,,,,0151 CHAPTER
010494386,INSTITUTE OF MARITIME HISTORY,% DAVID P HOWE,PO BOX 108,TALL TIMBERS,MD,20690-0108,0000,03,3,1000,199510,1,15,994119000,1,01,202312,0,0,02,0,12,0,0,0,A80,
010515187,ALSTROM SYNDROME INTERNATIONAL,% JAN D MARSHALL,21030-G FREDERICK RD STE 410,GERMANTOWN,MD,20876-4132,0000,03,3,1200,199902,1,15,000000000,1,01,202312,3,4,01,0,12,98408,253997,253997,P820,
010547918,MAIN STREET MOBILE TREATMENT ASSOCIATES INC,,817 STABLE MANOR RD,REISTERSTOWN,MD,21136-6465,0000,03,3,1000,200208,1,16,000000000,1,01,202306,3,6,01,0,06,70355,2341748,2341748,F70,
010549978,THE PLAN MINISTRIES INC,% CARNAL BRADLEY PASTOR,5611 LANIER AVE,SUITLAND,MD,20746-6216,0000,03,3,1000,200207,1,10,000000000,1,01,,1,2,06,0,12,,,,X20,
010551686,JOE AND MISSY WALSH FOUNDATION,% JOSEPH WALSH,11600 PARTRIDGE RUN LN,POTOMAC,MD,20854-1218,0000,03,3,1000,200205,1,04,000000000,1,01,202312,6,4,00,1,12,1588945,192689,,T90,
010552565,PATAPSCO VALLEY COMMUNITY CHURCH,,PO BOX 797,CROWNSVILLE,MD,21032-0797,1601,03,9,7000,196310,1,10,029002000,5,01,,0,0,06,0,12,,,,,
010562898,SOLID UNION MINISTRIES INC,% WESLEY ROBERSON,3001 GOLD MINE RD,BROOKEVILLE,MD,20833-2619,0000,03,3,7000,200203,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010563200,C ELIZABETH RIEG PARENT TEACHER ORGANIZATION,,15542 PEACH WALKER DR,BOWIE,MD,20716-1412,0000,03,3,2000,201603,1,16,000000000,1,01,202312,0,0,02,0,12,0,0,0,B94,
010564694,KNIGHTS OF COLUMBUS,% WALTER YIENGER,715 MAIDEN CHOICE LANE,CATONSVILLE,MD,21228-5999,0188,08,9,1000,194010,1,00,036029265,5,01,202312,0,0,02,0,12,0,0,0,,13069 OUR LADY OF THE ANGELS COUNCL
