OBJECTID,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,Total_Units,Occ_Occupied,Occ_Vacant,Tenure_Owner,Tenure_Renter,Vacant_ForRent,Vacant_ForSale,Vacant_Other_All,HH_Total,HH_Family,HH_Married,HH_OtherFamily,HH_Male_NoSpouse,HH_Female_NoSpouse,HH_NonFamily,HH_NonFamilyAlone,HH_NonFamilyNotAlone,HH18_With18,HH18_FamilyWith18,HH18_NonFamilyWith18,HH18_No18,HH18_FamilyNo18,HH18_NonFamilyNo18,Age_U5,Age_5_9,Age_10_14,Age_15_17,Age_18_21,Age_22_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85up,Med_Age,Med_Age_Male,Med_Age_Female,Shape__Area,Shape__Length
1,Beechfield,4013,462,3191,3,108,0,105,144,164,1820,2193,1721,1592,129,914,678,82,9,38,1592,1013,403,610,115,495,579,476,103,511,505,6,1081,508,573,280,258,254,82,216,139,299,357,305,247,232,210,119,279,208,146,69,42,32,37.40000153,33.5,38.90000153,11223169.1976929,16370.4479571735
2,Belair-Parkside,449,91,302,2,12,0,4,38,17,207,242,174,152,22,92,60,0,12,10,152,104,48,56,13,43,48,39,9,62,62,0,90,42,48,26,21,33,12,15,15,35,41,32,26,19,39,5,20,44,22,9,10,5,37.09999847,39.40000153,38.40000153,954640.827697754,6808.02967552625
3,Curtis Bay Industrial Area,20,6,8,0,0,0,6,0,4,8,12,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,5,6,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,9.5,10.5,9.5,11673274.6343384,26350.573241923
4,Eastwood,764,314,81,4,7,0,301,57,377,339,425,286,272,14,126,146,9,0,5,272,156,94,62,18,44,116,96,20,105,103,2,167,53,114,60,47,71,10,47,31,76,52,45,44,41,42,15,40,37,23,10,18,10,33.59999847,35.09999847,34.5,779622.076049805,4182.51263004459
5,Forest Park Golf Course,358,14,305,5,2,0,27,5,13,164,194,135,123,12,92,31,7,0,5,123,81,28,53,4,49,42,36,6,36,36,0,87,45,42,19,12,24,9,12,12,21,25,16,15,6,38,17,19,20,36,23,6,10,45.90000153,35.79999924,54.40000153,2871664.96166992,7965.54924831659
6,Harwood,1639,503,916,5,35,1,60,119,153,808,831,732,651,81,250,401,21,13,47,651,279,136,143,35,108,372,242,130,124,121,3,527,158,369,98,93,69,5,72,121,212,198,125,116,83,82,35,85,83,47,15,24,11,33.59999847,34.40000153,33.5,1978012.99139404,5912.9076142842
7,Hawkins Point,24,7,0,0,0,0,8,9,10,11,13,5,5,0,5,0,0,0,0,5,4,0,4,1,3,1,1,0,3,3,0,2,1,1,4,2,3,1,1,3,2,0,0,2,2,0,0,0,1,1,0,2,0,26.20000076,22.39999962,25.29999924,54763685.5465698,55791.7230767538
8,Highlandtown,2915,1674,262,82,73,0,510,314,851,1507,1408,1441,1228,213,685,543,85,31,97,1228,583,364,219,67,152,645,400,245,288,278,10,940,305,635,189,151,115,40,80,135,447,527,290,213,112,146,66,95,81,59,33,19,29,33.5,33.90000153,33.5,3961744.74353027,8604.59073638924
9,Hoes Heights,930,648,138,2,86,0,12,44,32,450,480,504,467,37,275,192,18,4,15,467,202,154,48,13,35,265,204,61,78,77,1,389,125,264,50,26,30,2,21,13,95,149,90,73,50,46,32,65,70,39,23,16,19,39.29999924,38.20000076,40.59999847,2159542.11737061,6669.81264766834
10,Bayview,2944,998,322,32,118,0,1197,277,1546,1496,1448,1148,1029,119,369,660,61,16,42,1029,636,350,286,96,190,393,293,100,373,369,4,656,267,389,266,247,167,57,129,140,239,284,288,176,169,125,66,154,131,87,52,29,22,34.09999847,34.40000153,34.90000153,2654455.1854248,7486.51021564154
11,Keswick,713,560,67,0,45,0,11,30,22,328,385,380,347,33,277,70,17,9,7,347,192,175,17,5,12,155,119,36,90,88,2,257,104,153,33,35,39,11,25,12,11,11,25,49,72,36,25,41,71,32,53,31,42,50.40000153,52.79999924,49.09999847,2233451.65057373,8843.2567567801
12,Lucille Park,431,49,356,0,0,0,7,19,18,250,181,175,135,40,27,108,1,0,39,135,95,23,72,23,49,40,30,10,55,54,1,80,41,39,18,19,11,9,14,10,33,29,40,28,36,39,34,36,21,18,9,11,2,43.40000153,39.79999924,40.90000153,2920636.70861816,9492.29020829436
13,Millhill,1404,297,906,7,31,1,76,86,107,682,722,713,572,141,122,450,45,9,87,572,292,81,211,50,161,280,227,53,175,170,5,397,122,275,110,84,127,34,85,43,96,78,85,103,65,100,38,92,80,42,32,20,8,37.20000076,36.79999924,37.20000076,5879577.84692383,11605.0771446787
14,Moravia-Walther,978,295,588,5,12,0,18,60,45,471,507,431,380,51,274,106,21,4,26,380,222,126,96,17,79,158,137,21,107,106,1,273,116,157,54,59,49,18,48,31,37,48,87,77,69,81,48,57,57,49,12,15,20,44.20000076,40.29999924,42.5,3652104.38464355,8867.31054975074
15,Morgan Park,245,29,202,0,1,0,4,9,5,95,150,123,121,2,121,0,0,0,2,121,76,47,29,11,18,45,35,10,27,27,0,94,49,45,4,6,15,2,13,9,8,17,16,23,14,31,2,19,27,11,3,12,1,45.70000076,37.59999847,51.40000153,2026709.31512451,5825.26079241328
16,Mount Holly,1304,43,1178,2,0,0,44,37,40,633,671,651,514,137,209,305,40,18,79,514,296,101,195,49,146,218,172,46,131,129,2,383,167,216,69,81,79,10,58,47,95,80,84,69,98,105,59,97,95,64,22,14,20,41.29999924,38.29999924,38.40000153,3455557.440979,9466.86274240141
17,Mt Pleasant Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7056941.33404541,14645.8517894159
18,O'Donnell Heights,972,60,757,19,9,1,72,54,119,353,619,354,312,42,34,278,24,8,10,312,225,33,192,29,163,87,67,20,165,165,0,147,60,87,95,121,117,26,63,27,65,106,71,49,30,40,13,43,15,18,7,1,3,24.29999924,19.79999924,28.39999962,4442684.61193848,9998.76111024486
19,Oaklee,669,249,322,0,23,0,19,56,54,318,351,391,351,40,83,268,20,6,14,351,149,62,87,22,65,202,159,43,73,73,0,278,76,202,30,24,25,4,27,43,89,69,54,55,23,55,15,41,37,21,9,11,12,38.70000076,36.5,41.29999924,1134217.46264648,5680.32574714728
20,Orangeville Industrial Area,33,4,9,0,1,0,10,9,15,23,10,3,1,2,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,3,6,3,5,1,0,9,0,1,0,0,2,0,0,1,0,0,0,0,20.60000038,20.79999924,7.0999999,12412587.0563354,16423.6497096793
21,Otterbein,2677,1834,419,2,198,0,34,190,126,1282,1395,2014,1814,200,491,1323,138,19,43,1814,482,404,78,27,51,1332,1082,250,117,116,1,1697,366,1331,68,26,27,7,30,150,506,380,174,95,84,91,72,155,227,186,143,114,76,42.59999847,42,44.09999847,2860751.7645874,7212.22232689321
22,Parkside,2406,152,2111,3,43,1,24,72,59,1062,1344,1157,1034,123,466,568,67,21,35,1034,573,193,380,84,296,461,394,67,273,272,1,761,301,460,118,158,156,45,127,105,158,192,177,120,135,145,77,174,152,96,46,25,30,39.79999924,35.40000153,41.5,3276041.16467285,8592.514676173
23,Auchentoroly-Parkwood,1597,65,1453,4,4,0,14,57,29,763,834,1006,689,317,244,445,76,15,226,689,335,99,236,41,195,354,264,90,186,179,7,503,156,347,83,115,71,19,82,64,127,132,108,80,103,102,73,132,87,41,39,14,22,39.20000076,36.79999924,39,2748381.67956543,7357.46262425217
24,Penn-Fallsway,2594,331,2179,8,10,0,52,14,74,2399,195,12,10,2,0,10,1,0,1,10,5,0,5,2,3,5,3,2,4,4,0,6,1,5,3,4,2,104,277,247,511,401,331,223,154,149,90,46,10,16,9,1,3,31.60000038,31.79999924,31.5,3747891.38482666,8958.15719102085
25,Pimlico Good Neighbors,858,35,762,1,4,0,31,25,42,417,441,433,367,66,199,168,30,5,31,367,198,59,139,28,111,169,151,18,80,77,3,287,121,166,53,34,46,21,52,21,51,44,40,50,32,59,33,76,51,51,39,33,24,47.40000153,46,46.79999924,8243231.45910645,11943.492005741
26,Pleasant View Gardens,671,2,648,0,1,0,1,19,4,242,429,339,338,1,19,319,1,0,0,338,163,22,141,14,127,175,158,17,100,99,1,238,64,174,55,43,69,25,28,20,32,51,40,28,18,32,10,37,47,37,25,12,22,38.40000153,29.10000038,40.29999924,1260420.96746826,4854.81903709987
27,Purnell,596,15,566,0,1,0,3,11,11,266,330,291,260,31,17,243,29,2,0,260,163,54,109,14,95,97,71,26,101,101,0,159,62,97,61,45,52,5,29,30,74,74,39,35,35,19,13,28,14,5,2,2,5,29.60000038,28.29999924,31.29999924,1108359.83227539,6136.34680217887
28,Rosemont,2411,38,2245,5,4,0,15,104,36,1095,1316,1161,880,281,377,503,77,29,175,880,547,157,390,84,306,333,282,51,306,300,6,574,247,327,146,177,202,63,134,92,152,212,172,140,103,119,77,158,120,93,30,39,21,35.90000153,32.5,38.09999847,4889088.36901855,9008.27155232766
29,Rosemont East,1959,591,1221,6,11,2,57,71,52,934,1025,865,813,52,449,364,17,11,24,813,419,188,231,56,175,394,325,69,210,206,4,603,213,390,107,94,96,31,74,83,126,135,163,121,103,136,77,129,106,87,75,36,27,41.70000076,39.79999924,40.59999847,7026395.25097656,11960.0048537579
