EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010060379,HEALING AND DELIVERANCE MINISTRY INC,,14103 BYRNE PARK DR,CLARKSBURG,MD,20871-6337,0000,03,3,7000,201407,1,10,000000000,5,01,,0,0,06,0,12,,,,X20,
010475488,NATIONAL ASSOCIATION OF EDUCATIONAL PROCUREMENT,% BILL ALDERSON,8840 STANFORD BLVD STE 2000,COLUMBIA,MD,21045-5848,3700,03,9,1000,199403,1,16,000000000,1,01,,0,0,01,0,12,,,,B50Z,NEW ENGLAND
010488045,AIR FORCE SERGEANTS ASSOCIATION,% AFSA A&F,PO BOX 50,TEMPLE HILLS,MD,20757-0050,1758,19,9,1000,196511,2,00,907908000,5,01,,0,0,02,0,12,,,,,0151 CHAPTER
010494386,INSTITUTE OF MARITIME HISTORY,% DAVID P HOWE,PO BOX 108,TALL TIMBERS,MD,20690-0108,0000,03,3,1000,199510,1,15,994119000,1,01,202412,0,0,02,0,12,0,0,0,A80,
010547918,MAIN STREET MOBILE TREATMENT ASSOCIATES INC,,817 STABLE MANOR RD,REISTERSTOWN,MD,21136-6465,0000,03,3,1000,200208,1,16,000000000,1,01,202406,3,6,01,0,06,84818,2123420,2123420,F70,
010549919,TIME OF GRACE MINISTRIES,% MIGUEL A ROMERO,501 ROSEMERE AVE,SILVER SPRING,MD,20904-3020,0000,03,3,7000,200406,1,10,000000000,1,01,202412,7,6,06,0,12,5045077,1258914,1258914,X21,
010549978,THE PLAN MINISTRIES INC,% CARNAL BRADLEY PASTOR,5611 LANIER AVE,SUITLAND,MD,20746-6216,0000,03,3,1000,200207,1,10,000000000,1,01,,1,2,06,0,12,,,,X20,
010551686,JOE AND MISSY WALSH FOUNDATION,% JOSEPH WALSH,11600 PARTRIDGE RUN LN,POTOMAC,MD,20854-1218,0000,03,3,1000,200205,1,04,000000000,1,01,202412,6,4,00,1,12,1531472,350743,,T90,
010552565,PATAPSCO VALLEY COMMUNITY CHURCH,,PO BOX 797,CROWNSVILLE,MD,21032-0797,1601,03,9,7000,196310,1,10,029002000,5,01,,0,0,06,0,12,,,,,
010562898,SOLID UNION MINISTRIES INC,% WESLEY ROBERSON,3001 GOLD MINE RD,BROOKEVILLE,MD,20833-2619,0000,03,3,7000,200203,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
